Epoch,Train/Test Split,Size of Dataset,Training Accuracy,Test Accuracy,Training RMSE,Test RMSE
1,90:10,20000,0.8150786757469177,0.8367499709129333,1161.1118738288296,879.1925154177933
2,90:10,20000,0.8189491033554077,0.8347499966621399,1160.3889822111537,878.5888244793465
3,90:10,20000,0.8216203451156616,0.8322916626930237,1159.3013865898176,877.7022700874521
4,90:10,20000,0.8243610858917236,0.8331666588783264,1158.0539430441054,876.7206745879785
5,90:10,20000,0.8285694718360901,0.8354583382606506,1156.7056458970017,875.6363362340174
6,90:10,20000,0.8319953680038452,0.8390416502952576,1156.1009956762875,875.1913179652016
7,90:10,20000,0.837023138999939,0.8426250219345093,1155.279218961325,874.446615866286
8,90:10,20000,0.8414490818977356,0.8454583287239075,1154.366695608703,873.9650989408368
9,90:10,20000,0.8451157212257385,0.8482083082199097,1153.1450450310358,872.8509749426493
10,90:10,20000,0.8472592830657959,0.8487083315849304,1151.4286208437534,871.0668114922835
11,90:10,20000,0.8497499823570251,0.8509583473205566,1149.1404475536067,869.2915368994455
12,90:10,20000,0.8520740866661072,0.8532916903495789,1146.4749554027514,867.0917184041143
13,90:10,20000,0.856041669845581,0.8547499775886536,1140.964448445148,863.2187362086545
14,90:10,20000,0.8588472008705139,0.8565833568572998,1138.6767760598102,862.0137134930047
15,90:10,20000,0.8617129921913147,0.8579166531562805,1133.5609613726772,858.4298525020356
16,90:10,20000,0.8654166460037231,0.8604583144187927,1129.4235296835186,856.8303711694243
17,90:10,20000,0.8673009276390076,0.8618333339691162,1125.6835205632144,855.1606575911142
18,90:10,20000,0.8702777624130249,0.8632083535194397,1122.0571035387868,852.7196281603937
19,90:10,20000,0.8721898198127747,0.8640000224113464,1119.4365681705272,850.0406529984316
20,90:10,20000,0.8749490976333618,0.8654166460037231,1113.389632955664,846.2823830830148
21,90:10,20000,0.8776898384094238,0.8672916889190674,1108.9775532014296,842.7371255320368
22,90:10,20000,0.8798842430114746,0.8666250109672546,1104.2567621125515,841.8318557863362
23,90:10,20000,0.8837962746620178,0.8696249723434448,1095.8360406367065,836.434838466213
24,90:10,20000,0.8861111402511597,0.8701666593551636,1092.19673907765,835.7000532487718
25,90:10,20000,0.8882361054420471,0.8715416789054871,1087.995118523312,831.0474162665649
